r,K,S0,Sigma,T,Euro_Call,Euro_Put,Parisian_Call_UaO,Parisian_Put_UaO,Knocked_Ratio,Std_Error_Call,Std_Error_Put
0.01,1.0,1.0,0.05,1.0,"0,095957","0,090371","0,066044","0,090371","0,067000","0,003331","0,004089"
0.02,0.85,1.1,0.15,2.0,"0,346742","0,056228","0,123161","0,055377","0,285000","0,005707","0,003771"
0.03,1.15,0.9,0.2,3.0,"0,141942","0,273667","0,001687","0,241436","0,434000","0,000401","0,008935"
0.04,0.9,0.95,0.1,4.0,"0,326939","0,124285","0,016035","0,111984","0,539000","0,001948","0,005624"
0.05,1.1,1.05,0.125,5.0,"0,396283","0,164281","0,005045","0,136360","0,601000","0,000898","0,006913"
0.06,1.2,1.25,0.09,6.0,"0,617057","0,139835","0,007889","0,109133","0,660000","0,001289","0,006388"
0.01,1.0,1.1,0.057,1.0,"0,163331","0,058152","0,123314","0,058152","0,068000","0,004762","0,003392"
0.02,0.95,1.1,0.17,2.0,"0,283027","0,088293","0,082797","0,086664","0,288000","0,004543","0,004886"
0.03,1.15,0.87,0.19,3.0,"0,125215","0,287747","0,000871","0,251566","0,436000","0,000272","0,009069"
0.04,0.95,0.95,0.13,4.0,"0,304776","0,144239","0,012202","0,128531","0,538000","0,001638","0,006194"
0.05,1.1,1.07,0.175,5.0,"0,415407","0,161736","0,005670","0,132766","0,605000","0,000977","0,006853"
0.06,1.25,1.25,0.14,6.0,"0,598912","0,155406","0,006008","0,118918","0,659000","0,001089","0,006807"
0.01,1.0,1.0,0.4,1.0,"0,142605","0,135088","0,047480","0,133457","0,192000","0,003149","0,005608"
0.02,0.85,1.1,0.31,2.0,"0,361739","0,068464","0,101189","0,067178","0,317000","0,005320","0,004211"
0.03,1.15,0.99,0.2,3.0,"0,194737","0,234533","0,007056","0,211293","0,434000","0,001007","0,008510"
0.04,0.9,0.957,0.25,4.0,"0,341734","0,128972","0,016871","0,115817","0,533000","0,001936","0,005796"
0.05,1.1,1.05,0.15,5.0,"0,397590","0,165147","0,005105","0,136618","0,600000","0,000903","0,006934"
0.06,1.2,1.45,0.09,6.0,"0,799952","0,112421","0,018226","0,090124","0,660000","0,002353","0,005821"
0.05,1.1,1.05,0.156,5.0,"0,397934","0,165380","0,005032","0,137448","0,598000","0,000896","0,006943"
0.06,1.2,1.25,0.099,6.0,"0,617435","0,140024","0,007786","0,109308","0,660000","0,001277","0,006395"
