r,K,S0,Sigma,T,Euro_Call,Euro_Put,Parisian_Call_UaO,Parisian_Put_UaO,Knocked_Ratio,Std_Error_Call,Std_Error_Put
0.01,1.0,1.0,0.05,1.0,"0,214151","0,000000","0,214151","0,000000","0,070000","0,001039","0,000000"
0.02,0.85,1.1,0.15,2.0,"0,466156","0,000000","0,466156","0,000000","0,280000","0,001964","0,000000"
0.03,1.15,0.9,0.2,3.0,"0,013552","0,000000","0,013552","0,000000","0,460000","0,000000","0,000000"
0.04,0.9,0.95,0.1,4.0,"0,174225","0,000000","0,174225","0,000000","0,510000","0,000894","0,000000"
0.05,1.1,1.05,0.125,5.0,"0,242624","0,000000","0,242624","0,000000","0,590000","0,000962","0,000000"
0.06,1.2,1.25,0.09,6.0,"0,250642","0,000000","0,250642","0,000000","0,650000","0,001004","0,000000"
0.01,1.0,1.1,0.057,1.0,"0,285674","0,000000","0,285674","0,000000","0,070000","0,001302","0,000000"
0.02,0.95,1.1,0.17,2.0,"0,409871","0,000000","0,409871","0,000000","0,280000","0,001789","0,000000"
0.03,1.15,0.87,0.19,3.0,"0,128318","0,258643","0,000000","0,246261","0,460000","0,000000","0,002940"
0.04,0.95,0.95,0.13,4.0,"0,141570","0,000000","0,141570","0,000000","0,520000","0,000813","0,000000"
0.05,1.1,1.07,0.175,5.0,"0,249752","0,000000","0,249752","0,000000","0,590000","0,001002","0,000000"
0.06,1.25,1.25,0.14,6.0,"0,223706","0,000000","0,223706","0,000000","0,650000","0,000926","0,000000"
0.01,1.0,1.0,0.4,1.0,"0,187176","0,000000","0,187176","0,000000","0,230000","0,001147","0,000000"
0.02,0.85,1.1,0.31,2.0,"0,466895","0,000000","0,466895","0,000000","0,330000","0,002238","0,000000"
0.03,1.15,0.99,0.2,3.0,"0,102620","0,000000","0,102620","0,000000","0,460000","0,000218","0,000000"
0.04,0.9,0.957,0.25,4.0,"0,159116","0,000000","0,159116","0,000000","0,520000","0,000589","0,000000"
0.05,1.1,1.05,0.15,5.0,"0,238195","0,000000","0,238195","0,000000","0,590000","0,000947","0,000000"
0.06,1.2,1.45,0.09,6.0,"0,377227","0,000000","0,377227","0,000000","0,650000","0,001443","0,000000"
0.05,1.1,1.05,0.156,5.0,"0,239013","0,000000","0,239013","0,000000","0,590000","0,000937","0,000000"
0.06,1.2,1.25,0.099,6.0,"0,251380","0,000000","0,251380","0,000000","0,650000","0,001006","0,000000"
