r,K,S0,Sigma,T,Put Value Black-Scholes Model,Call Value Black-Scholes Model
0.01,1.0,1.0,0.05,1.0,"0,014863","0,024645"
0.02,0.85,1.1,0.15,2.0,"0,007155","0,290892"
0.03,1.15,0.9,0.2,3.0,"0,222708","0,068137"
0.04,0.9,0.95,0.1,4.0,"0,011713","0,194220"
0.05,1.1,1.05,0.125,5.0,"0,034331","0,227785"
0.06,1.2,1.25,0.09,6.0,"0,002901","0,414149"
0.01,1.0,1.1,0.057,1.0,"0,000681","0,109905"
0.02,0.95,1.1,0.17,2.0,"0,028867","0,216619"
0.03,1.15,0.87,0.19,3.0,"0,234359","0,054378"
0.04,0.95,0.95,0.13,4.0,"0,038144","0,179007"
0.05,1.1,1.07,0.175,5.0,"0,066910","0,279691"
0.06,1.25,1.25,0.14,6.0,"0,027500","0,401954"
0.01,1.0,1.0,0.4,1.0,"0,151310","0,157847"
0.02,0.85,1.1,0.31,2.0,"0,061339","0,341250"
0.03,1.15,0.99,0.2,3.0,"0,171471","0,111581"
0.04,0.9,0.957,0.25,4.0,"0,088232","0,275593"
0.05,1.1,1.05,0.15,5.0,"0,054554","0,246724"
0.06,1.2,1.45,0.09,6.0,"0,000382","0,609535"
0.05,1.1,1.05,0.156,5.0,"0,057074","0,253650"
0.06,1.2,1.25,0.099,6.0,"0,004945","0,416707"
