r,K,S0,Sigma,T,Put Value Black-Scholes Model,Call Value Black-Scholes Model
0.01,1.0,1.0,0.05,1.0,"0,015266","0,025216"
0.02,0.85,1.1,0.15,2.0,"0,007279","0,290608"
0.03,1.15,0.9,0.2,3.0,"0,222717","0,071696"
0.04,0.9,0.95,0.1,4.0,"0,012378","0,195448"
0.05,1.1,1.05,0.125,5.0,"0,035912","0,229231"
0.06,1.2,1.25,0.09,6.0,"0,003061","0,415849"
0.01,1.0,1.1,0.057,1.0,"0,000752","0,110703"
0.02,0.95,1.1,0.17,2.0,"0,030067","0,217317"
0.03,1.15,0.87,0.19,3.0,"0,235949","0,054928"
0.04,0.95,0.95,0.13,4.0,"0,037334","0,177798"
0.05,1.1,1.07,0.175,5.0,"0,065852","0,279172"
0.06,1.25,1.25,0.14,6.0,"0,026853","0,404758"
0.01,1.0,1.0,0.4,1.0,"0,152804","0,162754"
0.02,0.85,1.1,0.31,2.0,"0,060654","0,343983"
0.03,1.15,0.99,0.2,3.0,"0,172906","0,111885"
0.04,0.9,0.957,0.25,4.0,"0,091123","0,281193"
0.05,1.1,1.05,0.15,5.0,"0,052677","0,245996"
0.06,1.2,1.45,0.09,6.0,"0,000497","0,613286"
0.05,1.1,1.05,0.156,5.0,"0,056868","0,250187"
0.06,1.2,1.25,0.099,6.0,"0,005057","0,417845"
