r,K,S0,Sigma,T,Put Value Black-Scholes Model,Call Value Black-Scholes Model
"0,01",1,1,"0,05",1,,
"0,02","0,85","1,1","0,15",2,,
"0,03","1,15","0,9","0,2",3,,
"0,04","0,9","0,95","0,1",4,,
"0,05","1,1","1,05","0,125",5,,
"0,06","1,2","1,25","0,09",6,,
"0,01",1,"1,1","0,057",1,,
"0,02","0,95","1,1","0,17",2,,
"0,03","1,15","0,87","0,19",3,,
"0,04","0,95","0,95","0,13",4,,
"0,05","1,1","1,07","0,175",5,,
"0,06","1,25","1,25","0,14",6,,
"0,01",1,1,"0,4",1,,
"0,02","0,85","1,1","0,31",2,,
"0,03","1,15","0,99","0,2",3,,
"0,04","0,9","0,957","0,25",4,,
"0,05","1,1","1,05","0,15",5,,
"0,06","1,2","1,45","0,09",6,,
"0,05","1,1","1,05","0,156",5,,
"0,06","1,2","1,25","0,099",6,,
